,predict
400,0.15845852
401,0.17594168
402,0.33058006
403,0.3223052
404,0.35972893
405,0.40074623
406,0.41751236
407,0.5508244
408,0.44796008
409,0.3494623
410,0.30772495
411,0.21632373
412,0.09063663
413,0.08330016
414,0.08545196
415,0.09679027
416,0.07064102
417,0.036415137
418,0.077886574
419,0.19436543
420,0.114075854
421,0.07027656
422,0.16551957
423,0.1734608
424,0.18561757
425,0.22419441
426,0.27717417
427,0.3372771
428,0.34009188
429,0.32183176
430,0.3867054
431,0.45801395
432,0.4347375
433,0.49554783
434,0.32155716
435,0.17127685
436,0.1701222
437,0.14215827
438,0.09194234
439,0.08320923
440,0.09994678
441,0.07928051
442,0.06668312
443,0.12729338
444,0.10074821
445,0.10397995
446,0.15461896
447,0.19052225
448,0.1882495
449,0.18647449
450,0.3106051
451,0.33600467
452,0.37158495
453,0.4559918
454,0.33964437
455,0.44853455
456,0.45514733
457,0.5181808
458,0.3692703
459,0.2612494
460,0.13051604
461,0.113337696
462,0.091068484
463,0.08318722
464,0.07177946
465,0.07923265
466,0.05561194
467,0.1302879
468,0.13939686
469,0.12657772
470,0.14499411
471,0.18022719
472,0.19495311
473,0.20120755
474,0.30619907
475,0.39270753
476,0.4080947
477,0.44149244
478,0.36181682
479,0.37823355
480,0.31153873
481,0.30647326
482,0.25793803
483,0.23681499
484,0.1770803
485,0.17039725
486,0.10825033
487,0.11139254
488,0.08893153
489,0.057511725
490,0.10356654
491,0.15675676
492,0.09427706
493,0.11273553
494,0.22216685
495,0.18538335
496,0.15511885
497,0.1838328
498,0.3329705
499,0.4022708
500,0.34692925
501,0.42565626
502,0.38282922
503,0.4546848
504,0.44099575
505,0.39310598
506,0.29237723
507,0.2027111
508,0.15670559
509,0.11449641
510,0.08113243
511,0.098744184
512,0.087779865
513,0.06803236
514,0.11533165
515,0.1390339
516,0.1000846
517,0.13655934
518,0.18069282
519,0.14694904
520,0.17343293
521,0.24645127
522,0.30997193
523,0.516511
524,0.5816637
525,0.48126745
526,0.32656184
527,0.3522684
528,0.30412078
529,0.2049029
530,0.15257317
531,0.14035115
532,0.13291107
533,0.093155935
534,0.06646434
535,0.09874123
536,0.08502905
537,0.039183907
538,0.083688624
539,0.18107867
540,0.12868963
541,0.15330231
542,0.21536297
543,0.21704355
544,0.23417848
545,0.22365914
546,0.2919125
547,0.39515382
548,0.38577962
549,0.47151494
550,0.46810383
551,0.5157659
552,0.48760343
553,0.49543846
554,0.34011042
555,0.24737884
556,0.15090998
557,0.11078144
558,0.093519986
559,0.09331228
560,0.08116649
561,0.04600288
562,0.029171534
563,0.15938511
564,0.10843791
565,0.14090297
566,0.20437461
567,0.18747072
568,0.16410974
569,0.20819762
570,0.28831458
571,0.38852835
572,0.46212322
573,0.53314173
574,0.404087
575,0.4251852
576,0.3505153
577,0.3438028
578,0.2429648
579,0.15471017
580,0.1210271
581,0.09129118
582,0.062601045
583,0.08246864
584,0.075933665
585,0.03502588
586,0.082091466
587,0.17342357
588,0.12611912
589,0.14951092
590,0.20733021
591,0.18623735
592,0.18222925
593,0.18835041
594,0.30856782
595,0.36975467
596,0.37182528
597,0.4350347
598,0.4098426
599,0.49554145
600,0.52036417
601,0.46613407
602,0.29977053
603,0.14241675
604,0.15906443
605,0.10139632
606,0.082362965
607,0.07946628
608,0.07138682
609,0.04038623
610,0.06175282
611,0.15474288
612,0.13233025
613,0.20061192
614,0.2016649
615,0.17198473
616,0.200071
617,0.19979976
618,0.27795225
619,0.3367843
620,0.33411443
621,0.41031384
622,0.417772
623,0.4236682
624,0.43780375
625,0.38702038
626,0.29311916
627,0.19525377
628,0.17111716
629,0.109367415
630,0.093633994
631,0.094292216
632,0.083591975
633,0.07069256
634,0.14485863
635,0.1495516
636,0.082755096
637,0.16375254
638,0.21945488
639,0.21567214
640,0.22342415
641,0.20386568
642,0.2995274
643,0.3465743
644,0.3655089
645,0.43628782
646,0.44695675
647,0.40457422
648,0.3906933
649,0.3538206
650,0.23168291
651,0.17245442
652,0.18069631
653,0.13505647
654,0.0685974
655,0.101338014
656,0.12568167
657,0.07734259
658,0.105209894
659,0.16954798
660,0.1318077
661,0.19094661
662,0.20609832
663,0.18957233
664,0.20116585
665,0.17903075
666,0.32626033
667,0.370706
668,0.37884122
669,0.4612612
670,0.45182896
671,0.47305048
672,0.35826916
673,0.29183346
674,0.28017515
675,0.17216209
676,0.14265648
677,0.13570896
678,0.1214692
679,0.10653909
680,0.10875317
681,0.04870996
682,0.101595014
683,0.124503456
684,0.08668223
685,0.112668455
686,0.16825722
687,0.16546944
688,0.19808371
689,0.18208674
690,0.29908377
691,0.3661338
692,0.3586228
693,0.45297056
694,0.4513206
695,0.43601024
696,0.4449792
697,0.4549405
698,0.39013857
699,0.2700601
700,0.24118774
701,0.15993358
702,0.10552855
703,0.087087736
704,0.083035216
705,0.07029307
706,0.06383545
707,0.07855247
708,0.09217164
709,0.18612733
710,0.19914614
711,0.2168961
712,0.17854038
713,0.18301342
714,0.31294388
715,0.3761658
716,0.5073222
717,0.66854966
718,0.5636528
719,0.37278837
720,0.31854448
721,0.23638256
722,0.18227945
723,0.14081016
724,0.14606242
725,0.11308551
726,0.095731094
727,0.07806769
728,0.07613741
729,0.059192427
730,0.09329546
731,0.1005065
732,0.12008859
733,0.17454466
734,0.20863113
735,0.19637422
736,0.20598832
737,0.1368503
